id,title,title_he,description,description_he,image_url,start_date,end_date,price,single_supplement_price,max_capacity,spots_left,status,difficulty_level,country_id,guide_id,trip_type_id
98,Discover Namibia,נמיביה: מסע בלתי נשכח,Explore the wonders of Namibia. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-11-18,2026-12-06,4030.00,924.12,12,10,Open,3,25,17,3
99,Discover Namibia,הרפתקה בנמיביה,Explore the wonders of Namibia. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-08-12,2026-08-27,11280.00,2141.77,25,3,Last Places,2,25,8,3
100,Discover Uganda,אוגנדה המרתקת,Explore the wonders of Uganda. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2026-02-16,2026-02-23,3740.00,595.87,12,11,Open,3,22,16,3
101,Discover Uganda,פלאי אוגנדה,Explore the wonders of Uganda. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-08-11,2026-08-27,10660.00,2524.39,25,1,Last Places,2,22,4,3
102,Discover Botswana,מסע אל מעמקי בוטסואנה,Explore the wonders of Botswana. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-04-02,2026-04-28,11870.00,2046.68,12,5,Open,2,26,7,3
103,Discover Botswana,הקסם של בוטסואנה,Explore the wonders of Botswana. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2027-03-13,2027-04-09,7470.00,1142.13,18,9,Last Places,2,26,22,3
104,Discover Kenya,סיור מעמיק בקניה,Explore the wonders of Kenya. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2027-01-27,2027-02-21,2620.00,417.04,24,6,Last Places,2,18,5,3
105,Discover South Africa,פלאי דרום אפריקה,Explore the wonders of South Africa. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2026-06-28,2026-07-27,13620.00,2855.06,12,2,Last Places,1,17,24,3
106,Discover Uganda,הרפתקה באוגנדה,Explore the wonders of Uganda. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2026-09-18,2026-10-12,11050.00,2115.17,15,3,Last Places,2,22,14,3
107,Discover Uganda,חוויה של פעם בחיים באוגנדה,Explore the wonders of Uganda. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2026-02-05,2026-02-17,10090.00,2506.81,12,0,Full,1,22,10,3
108,Discover South Africa,דרום אפריקה: מסע בלתי נשכח,Explore the wonders of South Africa. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-03-15,2026-03-20,12180.00,2736.86,15,4,Last Places,2,17,11,3
109,Discover Kenya,פלאי קניה,Explore the wonders of Kenya. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2027-03-30,2027-04-27,2860.00,553.76,20,2,Last Places,2,18,13,3
110,Discover South Africa,מסע אל מעמקי דרום אפריקה,Explore the wonders of South Africa. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-08-08,2026-08-13,8650.00,1446.17,24,14,Open,2,17,4,3
111,Discover Italy,איטליה: טבע ותרבות,Explore the wonders of Italy. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-10-08,2026-10-15,10100.00,2394.23,25,10,Guaranteed,2,42,13,4
112,Discover Norway,פלאי נורבגיה,Explore the wonders of Norway. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2027-05-18,2027-06-12,5020.00,871.61,15,8,Guaranteed,1,63,24,4
113,Discover Canada,פלאי קנדה,Explore the wonders of Canada. An unforgettable journey awaits.,"מסע אל הטבע הצפון-אמריקאי: בין יערות ירוקים, אגמים צלולים והרים מושלגים.",,2027-02-03,2027-02-26,13860.00,2701.18,24,20,Open,3,87,15,4
114,Discover Japan,יפן: מסע בלתי נשכח,Explore the wonders of Japan. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2026-08-27,2026-09-21,8200.00,1882.99,24,1,Last Places,2,2,16,4
115,Discover Switzerland,פלאי שוויץ,Explore the wonders of Switzerland. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-07-20,2026-08-03,3570.00,765.65,30,2,Last Places,3,79,2,4
116,Discover Canada,סיור מעמיק בקנדה,Explore the wonders of Canada. An unforgettable journey awaits.,"גלו את יופי המערב הפראי: קניונים אדומים, נופים אינסופיים ופארקים לאומיים מרהיבים.",,2026-12-12,2026-12-23,8580.00,1806.10,24,4,Last Places,1,87,19,4
117,Discover Switzerland,חוויה של פעם בחיים בשוויץ,Explore the wonders of Switzerland. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2027-01-10,2027-01-29,10990.00,2224.45,24,5,Last Places,2,79,8,4
118,Discover Norway,פלאי נורבגיה,Explore the wonders of Norway. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-06-30,2026-07-08,13420.00,2923.39,18,8,Open,3,63,3,4
119,Discover Norway,נורבגיה: מסע בלתי נשכח,Explore the wonders of Norway. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2027-05-23,2027-06-17,10020.00,1632.21,25,2,Last Places,2,63,10,4
120,Discover Austria,גלה את אוסטריה,Explore the wonders of Austria. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-12-09,2027-01-04,10670.00,2143.06,12,5,Last Places,1,49,3,4
121,Discover India,הקסם של הודו,Explore the wonders of India. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2026-02-21,2026-03-07,4070.00,817.13,24,23,Open,3,1,5,4
122,Discover Italy,סיור מעמיק באיטליה,Explore the wonders of Italy. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-04-01,2026-04-11,5700.00,1328.87,30,19,Guaranteed,3,42,13,4
123,Discover Canada,קנדה המרתקת,Explore the wonders of Canada. An unforgettable journey awaits.,"טרופי קריבי: חופים לבנים, מים טורקיז ושונית אלמוגים צבעונית.",,2026-06-07,2026-07-06,11190.00,1940.35,15,9,Last Places,1,87,20,4
124,Discover Peru,הקסם של פרו,Explore the wonders of Peru. An unforgettable journey awaits.,טרק מרגש בין פסגות האנדים המושלגות ושרידי תרבות האינקה העתיקה.,,2026-10-10,2026-10-28,5310.00,1230.27,30,19,Guaranteed,2,92,17,4
125,Discover Austria,מסע אל מעמקי אוסטריה,Explore the wonders of Austria. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-06-07,2026-06-14,5280.00,936.03,24,4,Last Places,2,49,4,4
126,Discover Peru,פרו המרתקת,Explore the wonders of Peru. An unforgettable journey awaits.,"הרפתקה של פעם בחיים ביבשת הססגונית – טבע פראי, תרבויות מרתקות וערים תוססות.",,2026-08-03,2026-08-24,9650.00,1675.03,12,5,Guaranteed,1,92,2,4
127,Discover Switzerland,מסע אל מעמקי שוויץ,Explore the wonders of Switzerland. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2027-04-27,2027-05-17,4840.00,1093.28,20,14,Open,1,79,10,4
128,Discover Austria,הקסם של אוסטריה,Explore the wonders of Austria. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-11-20,2026-12-11,10660.00,1717.53,18,7,Last Places,1,49,24,4
129,Discover Japan,יפן – מסע חלומות,Explore the wonders of Japan. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2027-03-17,2027-04-06,14220.00,2895.27,25,16,Open,1,2,4,4
130,Discover Italy,איטליה המרתקת,Explore the wonders of Italy. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-05-16,2026-06-08,10530.00,1776.74,25,2,Last Places,3,42,12,4
131,Discover Canada,גלה את קנדה,Explore the wonders of Canada. An unforgettable journey awaits.,"טרופי קריבי: חופים לבנים, מים טורקיז ושונית אלמוגים צבעונית.",,2026-12-04,2026-12-21,9640.00,1690.52,12,5,Guaranteed,2,87,2,4
132,Discover Switzerland,אוצרות שוויץ,Explore the wonders of Switzerland. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-10-19,2026-11-03,5580.00,1300.35,25,14,Open,2,79,12,4
133,Discover Canada,הרפתקה בקנדה,Explore the wonders of Canada. An unforgettable journey awaits.,"טרופי קריבי: חופים לבנים, מים טורקיז ושונית אלמוגים צבעונית.",,2026-06-12,2026-06-23,2890.00,662.13,12,5,Last Places,3,87,2,4
134,Discover Russia,הרפתקה ברוסיה,Explore the wonders of Russia. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-07-14,2026-08-12,2970.00,702.64,18,8,Guaranteed,2,78,10,4
135,Discover India,הרפתקה בהודו,Explore the wonders of India. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2027-01-02,2027-01-22,9520.00,2307.94,24,8,Guaranteed,3,1,16,4
136,Discover Austria,אוסטריה – מסע חלומות,Explore the wonders of Austria. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-06-26,2026-07-04,3630.00,663.53,18,9,Last Places,3,49,10,4
137,Discover Norway,מסע אל מעמקי נורבגיה,Explore the wonders of Norway. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-02-03,2026-03-03,9220.00,1949.89,20,8,Open,1,63,15,4
138,Discover India,הודו המרתקת,Explore the wonders of India. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-03-27,2026-04-20,10970.00,1683.67,12,3,Last Places,3,1,1,4
139,Discover Italy,איטליה: טבע ותרבות,Explore the wonders of Italy. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-12-26,2027-01-14,9590.00,1795.26,30,2,Last Places,3,42,5,4
140,Discover Scotland,סקוטלנד: מסע בלתי נשכח,Explore the wonders of Scotland. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2027-05-19,2027-05-27,2530.00,565.63,20,16,Open,2,47,8,4
141,Discover Russia,רוסיה: טבע ותרבות,Explore the wonders of Russia. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-06-08,2026-07-05,12050.00,2048.71,15,2,Last Places,2,78,20,4
142,Discover Norway,נורבגיה – מסע חלומות,Explore the wonders of Norway. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-02-15,2026-03-09,13100.00,2345.37,18,5,Open,3,63,23,4
143,Discover Austria,אוסטריה: מסע בלתי נשכח,Explore the wonders of Austria. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-03-16,2026-03-27,4840.00,840.58,20,0,Full,2,49,8,4
144,Discover Italy,הרפתקה באיטליה,Explore the wonders of Italy. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-02-15,2026-03-01,10150.00,2537.09,25,15,Open,2,42,3,4
145,Discover Norway,אוצרות נורבגיה,Explore the wonders of Norway. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-02-19,2026-03-10,11540.00,2515.85,18,4,Last Places,3,63,21,4
146,Discover Peru,פרו – מסע חלומות,Explore the wonders of Peru. An unforgettable journey awaits.,"הרפתקה של פעם בחיים ביבשת הססגונית – טבע פראי, תרבויות מרתקות וערים תוססות.",,2027-04-24,2027-04-30,4540.00,916.22,18,5,Guaranteed,2,92,17,4
147,Discover Croatia,קרואטיה: מסע בלתי נשכח,Explore the wonders of Croatia. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-12-04,2026-12-26,7620.00,1238.38,18,17,Open,1,76,7,5
148,Discover Vietnam,מסע אל מעמקי וייטנם,Explore the wonders of Vietnam. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2026-12-16,2027-01-09,14390.00,2644.33,24,1,Last Places,1,4,6,5
149,Discover Greece,חוויה של פעם בחיים ביוון,Explore the wonders of Greece. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-11-01,2026-11-19,14650.00,3133.62,20,20,Open,3,43,25,5
150,Discover Chile,צ'ילה המרתקת,Explore the wonders of Chile. An unforgettable journey awaits.,טרק מרגש בין פסגות האנדים המושלגות ושרידי תרבות האינקה העתיקה.,,2026-09-02,2026-09-09,3220.00,533.90,20,15,Last Places,1,93,10,5
151,Discover Iceland,מסע אל מעמקי איסלנד,Explore the wonders of Iceland. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2027-06-02,2027-06-18,10160.00,1656.86,18,16,Open,3,44,24,5
152,Discover Norway,גלה את נורבגיה,Explore the wonders of Norway. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-08-31,2026-09-12,4880.00,779.24,18,12,Open,2,63,9,5
153,Discover Greece,מסע אל מעמקי יוון,Explore the wonders of Greece. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-04-04,2026-04-24,12540.00,2466.39,18,15,Open,1,43,25,5
154,Discover Iceland,חוויה של פעם בחיים באיסלנד,Explore the wonders of Iceland. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-02-07,2026-02-21,12130.00,2544.29,30,20,Open,2,44,2,5
155,Discover Chile,הקסם של צ'ילה,Explore the wonders of Chile. An unforgettable journey awaits.,טרק מרגש בין פסגות האנדים המושלגות ושרידי תרבות האינקה העתיקה.,,2027-04-09,2027-04-22,9490.00,2148.40,18,1,Last Places,2,93,5,5
156,Discover Croatia,מסע אל מעמקי קרואטיה,Explore the wonders of Croatia. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-07-29,2026-08-19,11220.00,2540.66,18,3,Last Places,1,76,3,5
157,Discover Vietnam,וייטנם – מסע חלומות,Explore the wonders of Vietnam. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-11-17,2026-12-08,10220.00,2044.08,12,0,Full,1,4,7,5
158,Discover Vietnam,פלאי וייטנם,Explore the wonders of Vietnam. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2027-04-15,2027-05-06,4860.00,888.39,24,10,Guaranteed,2,4,20,5
159,Discover Argentina,הרפתקה בארגנטינה,Explore the wonders of Argentina. An unforgettable journey awaits.,טרק מרגש בין פסגות האנדים המושלגות ושרידי תרבות האינקה העתיקה.,,2026-10-28,2026-11-11,11720.00,2714.06,18,10,Open,1,89,23,5
294,Discover Netherlands,הקסם של הולנד,Explore the wonders of Netherlands. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-02-26,2026-03-15,13390.00,2540.56,18,8,Open,2,118,3,9
160,Discover Croatia,סיור מעמיק בקרואטיה,Explore the wonders of Croatia. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2027-02-17,2027-03-18,13840.00,2875.45,25,1,Last Places,3,76,21,5
161,Discover Greece,הרפתקה ביוון,Explore the wonders of Greece. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-11-02,2026-11-29,4250.00,718.58,20,10,Last Places,1,43,2,5
162,Discover Argentina,ארגנטינה: מסע בלתי נשכח,Explore the wonders of Argentina. An unforgettable journey awaits.,"מסע אל לב יער הגשם האמזוני, בין עצים עתיקים וחיות בר נדירות.",,2027-01-20,2027-01-26,4820.00,973.01,24,10,Open,2,89,24,5
163,Discover Iceland,חוויה של פעם בחיים באיסלנד,Explore the wonders of Iceland. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-07-13,2026-08-08,7410.00,1563.57,15,7,Last Places,3,44,18,5
164,Discover Argentina,מסע אל מעמקי ארגנטינה,Explore the wonders of Argentina. An unforgettable journey awaits.,טרק מרגש בין פסגות האנדים המושלגות ושרידי תרבות האינקה העתיקה.,,2026-09-15,2026-10-01,13470.00,3278.19,30,23,Last Places,2,89,11,5
165,Discover Iceland,סיור מעמיק באיסלנד,Explore the wonders of Iceland. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2027-02-28,2027-03-09,7940.00,1224.40,25,2,Last Places,2,44,25,5
166,Discover Greece,גלה את יוון,Explore the wonders of Greece. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-05-31,2026-06-22,7560.00,1237.78,24,23,Open,3,43,18,5
167,Discover Greece,יוון: טבע ותרבות,Explore the wonders of Greece. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-05-12,2026-05-18,4050.00,774.89,25,15,Guaranteed,3,43,21,5
168,Discover Argentina,אוצרות ארגנטינה,Explore the wonders of Argentina. An unforgettable journey awaits.,טרק מרגש בין פסגות האנדים המושלגות ושרידי תרבות האינקה העתיקה.,,2026-12-12,2026-12-23,7880.00,1435.08,25,1,Last Places,1,89,16,5
169,Discover Antarctica,חוויה של פעם בחיים באנטארקטיקה,Explore the wonders of Antarctica. An unforgettable journey awaits.,"מסע אל הקוטב הנצחי – קרחונים כחולים מרהיבים, פינגווינים באלפים וטבע קפוא בראשיתי.",,2026-08-14,2026-08-24,2740.00,684.23,20,15,Guaranteed,3,95,6,5
170,Discover Norway,גלה את נורבגיה,Explore the wonders of Norway. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-06-07,2026-06-26,13120.00,2655.91,15,14,Open,2,63,11,5
171,Discover Croatia,קרואטיה: טבע ותרבות,Explore the wonders of Croatia. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-04-18,2026-04-23,8900.00,2038.78,24,21,Open,1,76,23,5
172,Discover Iceland,גלה את איסלנד,Explore the wonders of Iceland. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-08-06,2026-09-01,3950.00,665.49,15,15,Open,2,44,3,5
173,Discover Argentina,אוצרות ארגנטינה,Explore the wonders of Argentina. An unforgettable journey awaits.,"מסע אל לב יער הגשם האמזוני, בין עצים עתיקים וחיות בר נדירות.",,2026-05-29,2026-06-13,8180.00,1703.45,24,0,Full,2,89,25,5
174,Discover Norway,נורבגיה – מסע חלומות,Explore the wonders of Norway. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-06-19,2026-06-29,10300.00,2251.66,25,24,Open,2,63,15,5
175,Discover Greece,יוון – מסע חלומות,Explore the wonders of Greece. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2027-05-18,2027-05-27,11790.00,1949.11,25,19,Last Places,2,43,8,5
176,Discover Greece,מסע אל מעמקי יוון,Explore the wonders of Greece. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2027-02-03,2027-02-27,3670.00,743.36,24,22,Open,2,43,22,5
177,Discover Greece,גלה את יוון,Explore the wonders of Greece. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-10-14,2026-10-23,5360.00,979.87,24,14,Guaranteed,3,43,19,5
178,Discover Israel,סיור מעמיק בישראל,Explore the wonders of Israel. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2026-09-02,2026-09-11,12510.00,2396.20,24,1,Last Places,3,104,2,6
179,Discover Australia,אוסטרליה: מסע בלתי נשכח,Explore the wonders of Australia. An unforgettable journey awaits.,מסע חד פעמי בין איים וחלומות – שייט מרהיב לגן העדן הטרופי.,,2027-01-29,2027-02-09,13840.00,2177.07,20,11,Open,1,33,1,6
180,Discover China,סין המרתקת,Explore the wonders of China. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-08-10,2026-08-20,4770.00,1080.80,25,20,Open,2,5,10,6
181,Discover Cambodia,קמבודיה: מסע בלתי נשכח,Explore the wonders of Cambodia. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2027-05-21,2027-06-16,13040.00,2129.42,30,11,Guaranteed,1,11,22,6
182,Discover Azerbaijan,גלה את אזרבייג'ן,Explore the wonders of Azerbaijan. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2027-05-28,2027-06-11,11480.00,2495.18,24,13,Open,2,97,1,6
183,Discover Papua New Guinea,גלה את פפואה גינאה החדשה,Explore the wonders of Papua New Guinea. An unforgettable journey awaits.,מסע חד פעמי בין איים וחלומות – שייט מרהיב לגן העדן הטרופי.,,2027-05-07,2027-06-04,4310.00,660.39,25,13,Open,1,36,7,6
184,Discover Romania,רומניה: מסע בלתי נשכח,Explore the wonders of Romania. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-08-29,2026-09-22,2990.00,521.68,12,6,Last Places,1,77,2,6
185,Discover Slovenia,סלובניה המרתקת,Explore the wonders of Slovenia. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-05-12,2026-06-09,13790.00,2508.27,24,24,Open,3,65,10,6
186,Discover Hungary,הרפתקה בהונגריה,Explore the wonders of Hungary. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-06-02,2026-06-08,13400.00,3281.02,25,5,Open,3,53,10,6
187,Discover Madeira,הרפתקה במדירה,Explore the wonders of Madeira. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-12-22,2027-01-08,12740.00,2317.07,20,13,Guaranteed,2,121,21,6
188,Discover Vanuatu,ונואטו: מסע בלתי נשכח,Explore the wonders of Vanuatu. An unforgettable journey awaits.,מסע חד פעמי בין איים וחלומות – שייט מרהיב לגן העדן הטרופי.,,2026-03-27,2026-04-26,11480.00,2772.12,24,13,Last Places,3,39,23,6
189,Discover Zambia,הקסם של זמביה,Explore the wonders of Zambia. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-12-10,2026-12-17,11210.00,2631.14,12,8,Open,1,27,11,6
190,Discover Namibia,גלה את נמיביה,Explore the wonders of Namibia. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2026-11-09,2026-12-07,13440.00,2307.67,15,10,Last Places,1,25,25,6
191,Discover Netherlands,סיור מעמיק בהולנד,Explore the wonders of Netherlands. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2027-01-04,2027-01-28,6180.00,1172.12,15,10,Last Places,2,118,8,6
192,Discover Scotland,סקוטלנד המרתקת,Explore the wonders of Scotland. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2027-04-09,2027-04-29,11540.00,1844.79,25,15,Last Places,1,47,17,6
193,Discover Antarctica,חוויה של פעם בחיים באנטארקטיקה,Explore the wonders of Antarctica. An unforgettable journey awaits.,"מסע אל הקוטב הנצחי – קרחונים כחולים מרהיבים, פינגווינים באלפים וטבע קפוא בראשיתי.",,2026-01-21,2026-02-03,13330.00,3245.53,24,23,Open,2,95,5,6
194,Discover Ethiopia,אתיופיה – מסע חלומות,Explore the wonders of Ethiopia. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-10-31,2026-11-12,12220.00,2505.89,25,10,Last Places,2,30,13,6
195,Discover Colombia,קולומביה: מסע בלתי נשכח,Explore the wonders of Colombia. An unforgettable journey awaits.,"הרפתקה של פעם בחיים ביבשת הססגונית – טבע פראי, תרבויות מרתקות וערים תוססות.",,2026-04-09,2026-04-18,13190.00,2622.59,24,20,Open,1,94,12,6
196,Discover United Arab Emirates,גלה את איחוד האמירויות,Explore the wonders of United Arab Emirates. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2026-08-12,2026-08-21,14910.00,2581.57,25,4,Last Places,1,98,1,6
